time,temp
2020-05-26 13:14:38.109991,30.9
2020-05-26 13:14:38.310040,35.41
2020-05-26 13:14:38.510094,35.21
2020-05-26 13:14:38.710145,29.62
2020-05-26 13:14:38.910192,33.73
2020-05-26 13:14:39.110245,29.66
2020-05-26 13:14:39.310296,33.04
2020-05-26 13:14:39.510344,33.95
2020-05-26 13:14:39.711288,28.35
2020-05-26 13:14:39.911448,35.7
2020-05-26 13:14:40.111495,29.84
2020-05-26 13:14:40.311547,32.72
2020-05-26 13:14:40.511600,31.02
2020-05-26 13:14:40.711647,30.44
2020-05-26 13:14:40.911699,28.06
2020-05-26 13:14:41.111749,33.37
2020-05-26 13:14:41.311797,30.91
2020-05-26 13:14:41.511851,28.62
2020-05-26 13:14:41.711902,30.85
2020-05-26 13:14:41.911949,32.76
2020-05-26 13:14:42.112000,30.21
2020-05-26 13:14:42.312050,31.23
2020-05-26 13:14:42.512100,28.5
2020-05-26 13:14:42.712153,33.17
2020-05-26 13:14:42.912204,34.03
2020-05-26 13:14:43.112252,33.92
2020-05-26 13:14:43.313240,33.53
2020-05-26 13:14:43.513357,35.8
2020-05-26 13:14:43.713403,32.36
2020-05-26 13:14:43.914349,33.41
2020-05-26 13:14:44.114505,28.88
2020-05-26 13:14:44.314554,34.71
2020-05-26 13:14:44.515498,28.33
2020-05-26 13:14:44.715657,31.06
2020-05-26 13:14:44.915706,35.05
2020-05-26 13:14:45.115758,28.61
2020-05-26 13:14:45.315809,33.75
2020-05-26 13:14:45.516748,30.91
2020-05-26 13:14:45.716910,35.72
2020-05-26 13:14:45.916961,30.17
2020-05-26 13:14:46.117009,30.46
2020-05-26 13:14:46.317953,34.2
2020-05-26 13:14:46.518004,33.18
2020-05-26 13:14:46.718161,35.03
2020-05-26 13:14:46.918213,30.15
2020-05-26 13:14:47.119177,35.76
2020-05-26 13:14:47.319307,29.71
2020-05-26 13:14:47.520254,35.72
2020-05-26 13:14:47.720417,29.74
2020-05-26 13:14:47.920442,35.94
2020-05-26 13:14:48.120516,34.82
2020-05-26 13:14:48.320566,34.14
2020-05-26 13:14:48.521508,35.13
2020-05-26 13:14:48.721666,35.66
2020-05-26 13:14:48.921719,34.7
2020-05-26 13:14:49.121769,30.52
2020-05-26 13:14:49.321816,35.18
2020-05-26 13:14:49.522866,31.46
2020-05-26 13:14:49.722920,35.75
2020-05-26 13:14:49.922968,33.46
2020-05-26 13:14:50.123021,35.88
2020-05-26 13:14:50.323072,31.36
2020-05-26 13:14:50.523122,29.16
2020-05-26 13:14:50.723172,32.16
2020-05-26 13:14:50.923222,34.96
2020-05-26 13:14:51.123271,30.51
2020-05-26 13:14:51.323323,33.66
2020-05-26 13:14:51.523374,34.51
2020-05-26 13:14:51.723422,35.91
2020-05-26 13:14:51.923476,33.63
2020-05-26 13:14:52.124525,34.47
2020-05-26 13:14:52.324574,33.27
2020-05-26 13:14:52.524625,32.94
2020-05-26 13:14:52.724678,35.85
2020-05-26 13:14:52.925725,31.92
2020-05-26 13:14:53.125779,31.46
2020-05-26 13:14:53.325829,31.04
2020-05-26 13:14:53.525878,29.47
2020-05-26 13:14:53.725929,31.71
2020-05-26 13:14:53.925979,30.23
2020-05-26 13:14:54.126028,32.91
2020-05-26 13:14:54.326080,29.54
2020-05-26 13:14:54.526132,28.87
2020-05-26 13:14:54.726180,28.43
2020-05-26 13:14:54.926231,32.61
2020-05-26 13:14:55.126284,33.27
2020-05-26 13:14:55.326331,34.48
2020-05-26 13:14:55.526382,30.56
2020-05-26 13:14:55.726434,34.3
2020-05-26 13:14:55.926483,30.79
2020-05-26 13:14:56.126534,28.07
2020-05-26 13:14:56.326583,35.66
2020-05-26 13:14:56.526633,33.09
2020-05-26 13:14:56.726685,28.32
2020-05-26 13:14:56.926736,28.74
2020-05-26 13:14:57.126788,33.6
2020-05-26 13:14:57.326837,30.02
2020-05-26 13:14:57.526887,33.22
2020-05-26 13:14:57.726938,31.76
2020-05-26 13:14:57.926987,33.66
2020-05-26 13:14:58.127038,34.61
2020-05-26 13:14:58.327089,28.06
2020-05-26 13:14:58.527140,33.71
2020-05-26 13:14:58.727189,35.22
2020-05-26 13:14:58.927241,30.73
2020-05-26 13:14:59.127290,33.14
2020-05-26 13:14:59.327342,32.93
2020-05-26 13:14:59.527392,28.57
2020-05-26 13:14:59.728333,30.94
2020-05-26 13:14:59.928484,33.09
2020-05-26 13:15:00.128543,29.93
2020-05-26 13:15:00.329487,28.58
2020-05-26 13:15:00.529622,33.3
2020-05-26 13:15:00.729698,32.85
2020-05-26 13:15:00.929744,33.03
2020-05-26 13:15:01.154697,34.64
2020-05-26 13:15:01.354745,35.15
2020-05-26 13:15:01.554794,34.08
2020-05-26 13:15:01.754843,35.1
2020-05-26 13:15:01.955005,31.88
2020-05-26 13:15:02.155053,31.79
2020-05-26 13:15:02.355998,28.84
2020-05-26 13:15:02.556155,33.73
2020-05-26 13:15:02.756204,29.34
2020-05-26 13:15:02.956256,32.32
2020-05-26 13:15:03.156308,33.06
2020-05-26 13:15:03.356355,33.26
2020-05-26 13:15:03.556408,30.62
2020-05-26 13:15:03.756458,33.69
2020-05-26 13:15:03.956507,32.48
2020-05-26 13:15:04.156559,33.34
2020-05-26 13:15:04.356611,33.33
2020-05-26 13:15:04.556658,29.81
2020-05-26 13:15:04.756710,34.11
2020-05-26 13:15:04.956763,29.7
2020-05-26 13:15:05.156809,29.05
2020-05-26 13:15:05.356860,29.12
2020-05-26 13:15:05.557806,31.11
2020-05-26 13:15:05.759857,28.39
2020-05-26 13:15:05.960014,32.94
2020-05-26 13:15:06.160065,30.33
2020-05-26 13:15:06.360114,33.39
2020-05-26 13:15:06.560165,31.9
2020-05-26 13:15:06.760216,29.26
2020-05-26 13:15:06.961265,29.46
2020-05-26 13:15:07.162316,35.25
2020-05-26 13:15:07.362367,28.48
2020-05-26 13:15:07.562418,34.09
2020-05-26 13:15:07.762468,34.74
2020-05-26 13:15:07.962519,31.41
2020-05-26 13:15:08.162572,33.36
2020-05-26 13:15:08.362617,31.21
2020-05-26 13:15:08.562670,33.11
2020-05-26 13:15:08.762721,28.4
2020-05-26 13:15:08.962769,31.6
2020-05-26 13:15:09.162820,34.65
2020-05-26 13:15:09.362873,32.12
2020-05-26 13:15:09.562921,35.71
2020-05-26 13:15:09.763863,33.03
2020-05-26 13:15:09.964917,35.67
2020-05-26 13:15:10.166073,31.55
2020-05-26 13:15:10.366124,31.25
2020-05-26 13:15:10.566177,33.77
